id,username,password,role,email,firstname,middlename,lastname,created_at,updated_at,deleted_at
1,admin1,$2y$10$qigYGNfxvcsVB55w3fQnvuqWfKQHk3HGhg2szZPwT40rL15vwNPPq,admin,,,,,2014-03-22 10:19:47,2014-03-22 10:19:47,
2,clerk1,$2y$10$gS8.X7R6rouMMEHH/CFIHuizNVUH0Tb2LvKK33qPbaVR9L2DSdPCi,clerk,,Kuroko,No,Basuke,2014-03-22 10:19:47,2014-03-22 10:19:47,
3,clerk2,$2y$10$bPDaRV3LREGK3V/QqqG4D.pYxX8GDQt4ogPfAwkmkcT8JQOPyZbwu,clerk,,San,Juan,Pedro,2014-03-22 10:19:47,2014-03-22 10:19:47,
4,auditor1,$2y$10$gZTHO8XizWD6ymvI9ujf1.MG7whl8VOco4uv45jdet2vmsJpyj7yW,auditor,,,,,2014-03-22 10:19:47,2014-03-22 10:19:47,
5,johanna63,$2y$10$IaOiUi5WoFj1mqaX.Mlp1uzj9LwIsFx9dF82.FLxsU5SXY6bXg7ta,clerk,,Christina,Auer,Collier,2014-03-22 10:19:47,2014-03-22 10:19:47,
6,koch.terence,$2y$10$JUtSeX68Luf15Qt7Vu9J0uALmW8lH1bUv18e0XI/vmAJfySQAd4Le,clerk,,Joy,Schroeder,Jenkins,2014-03-22 10:19:47,2014-03-22 10:19:47,
7,rodger01,$2y$10$dn.kjZdIu5837ZRppoltGur/5p1NOK0rLgdHsjW/m6tCTz7ONo8M6,clerk,,Selina,Kozey,Quitzon,2014-03-22 10:19:47,2014-03-22 10:19:47,
8,williamson.raheem,$2y$10$dUEaB.5YJd0Xw2LyFElp6.HzL44qaWturJfYl4M5ecBJPZ4sHetjS,clerk,,Marjolaine,Bauch,Bins,2014-03-22 10:19:47,2014-03-22 10:19:47,
9,pcronin,$2y$10$sjMc7FXHYeFkPuMvIe4Id.4YYkoMzvui8lOyEpRPcI.NELT1SaVSa,clerk,,Lowell,Feeney,Stokes,2014-03-22 10:19:47,2014-03-22 10:19:47,
10,mattie26,$2y$10$HTqgkMMA.2deAcAYf/FiWup3VMbOZPplNox7bh2Xay23Z/TPBNEs2,clerk,,Dejon,Prosacco,Windler,2014-03-22 10:19:47,2014-03-22 10:19:47,
11,lyda33,$2y$10$9/1LHx9NxcK258E.LZGad.3udWN.WyQ6mL1KpN8Ys9WvZ50wCMdE6,clerk,,Trent,Volkman,Tillman,2014-03-22 10:19:47,2014-03-22 10:19:47,
12,von.marcellus,$2y$10$NhX58LkxOcwwSHlTXzQaEO3zqO2wQtijtRvNTjRpyXkOm3Ysbpjg2,clerk,,Elmira,Kozey,Lehner,2014-03-22 10:19:47,2014-03-22 10:19:47,
13,susanna05,$2y$10$RXAKqnFACaHcpkz1LvLBu.jfTaLWJi2H9uoDLmQV120IHdte4hcUq,clerk,,Melisa,Reilly,Kuhlman,2014-03-22 10:19:47,2014-03-22 10:19:47,
14,wvandervort,$2y$10$K1eiifN87gcHjfZ9xQqryezpXV/KZghB0lA2YS0RLjOS0YoC/Hp2.,clerk,,Odell,Kuphal,Kunze,2014-03-22 10:19:47,2014-03-22 10:19:47,
15,krista12,$2y$10$vtwLGCL3USrrNQGkzi0r/O0fEoyNrFkcC3aXZw3xN3IvJLCaK9cp.,clerk,,Antwan,Little,Wilkinson,2014-03-22 10:19:47,2014-03-22 10:19:47,
16,casper.syble,$2y$10$fjIkCyC3FdO9xaocHkwtmu6ibtS6qB0B8dqOkfK397tWkQETGt5la,clerk,,Russel,Emmerich,Murray,2014-03-22 10:19:47,2014-03-22 10:19:47,
17,yadira23,$2y$10$hF8ucAGbnXpLsM6jOyXeaO9no1H4Hjm7QOHIQwXRO0Q49xpZbNCuq,clerk,,Domenic,Labadie,Mayer,2014-03-22 10:19:47,2014-03-22 10:19:47,
18,prosacco.elyse,$2y$10$vjfakXrgnemTMZ9K.c2Bj.lrrcVet5UFQy6KJzzmcWt4lvINCWuVW,clerk,,Casper,Marquardt,Johnson,2014-03-22 10:19:47,2014-03-22 10:19:47,
19,pierre13,$2y$10$hG4dfZFIOvPI3RDLhHbjuenPQuapfy7YLd53dHRGdFM0FXjQYOcjq,clerk,,Lonzo,Krajcik,Jacobs,2014-03-22 10:19:47,2014-03-22 10:19:47,
20,quigley.lilliana,$2y$10$VA3eKaVUboPSRIzmYwIywu1q2WaxhPfJdZWdBrDxKJbGPVCcwRkaq,clerk,,Cathryn,Upton,Koch,2014-03-22 10:19:47,2014-03-22 10:19:47,
21,maegan.funk,$2y$10$eHF0bCLEp7hvFctOhWo4I.R8b3PfPUHKDKpeKMXHchbaHt.zolUeu,clerk,,Ibrahim,Erdman,Bechtelar,2014-03-22 10:19:47,2014-03-22 10:19:47,
22,dborer,$2y$10$HUndHWbyyVRfb7Lj1iTe3ONc3wJSWqgOv8do5vzgWXgaKy68t2yNi,clerk,,Carleton,Dare,Macejkovic,2014-03-22 10:19:47,2014-03-22 10:19:47,
23,arnaldo.marquardt,$2y$10$n5g.q3LW7B49lbqYBOVm1OxhkhTGCqRTggJluaM33GcVm8iWoP3ye,clerk,,Zack,VonRueden,Hoeger,2014-03-22 10:19:48,2014-03-22 10:19:48,
24,estell16,$2y$10$9L3VqyPSOCjNThjd4dZqdeXRRhnip7ziniFmF2Ce/Wo3yWOq/ZUd.,clerk,,Hester,Ullrich,Stokes,2014-03-22 10:19:48,2014-03-22 10:19:48,
